time,event,delta,cumulative,at_capacity
2025-09-02 08:33:54.960,departure,-1,1217,True
2025-09-02 08:36:22.893,departure,-1,1216,True
2025-09-02 08:36:23.980,arrival,1,1217,True
2025-09-02 08:38:00.588,departure,-1,1216,True
2025-09-02 08:38:04.396,departure,-1,1215,True
2025-09-02 08:38:43.785,departure,-1,1214,True
2025-09-02 08:39:43.741,departure,-1,1213,True
2025-09-02 08:41:13.046,departure,-1,1212,True
2025-09-02 08:42:30.313,arrival,1,1213,True
2025-09-02 08:43:59.075,departure,-1,1212,True
2025-09-02 08:49:15.047,departure,-1,1211,True
2025-09-02 08:50:45.649,departure,-1,1210,True
2025-09-02 08:51:14.149,departure,-1,1209,True
2025-09-02 08:51:58.355,departure,-1,1208,True
2025-09-02 08:52:08.450,departure,-1,1207,True
2025-09-02 08:52:55.331,departure,-1,1206,True
2025-09-02 08:53:38.289,departure,-1,1205,True
2025-09-02 08:54:13.007,departure,-1,1204,True
2025-09-02 08:55:28.700,departure,-1,1203,True
2025-09-02 08:55:42.978,arrival,1,1204,True
2025-09-02 08:58:57.395,departure,-1,1203,True
2025-09-02 08:58:58.440,arrival,1,1204,True
2025-09-02 09:03:11.697,arrival,1,1205,True
2025-09-02 09:05:51.398,departure,-1,1204,True
2025-09-02 09:07:20.285,arrival,1,1205,True
2025-09-02 09:08:09.899,departure,-1,1204,True
2025-09-02 09:08:29.789,departure,-1,1203,True
2025-09-02 09:11:33.072,arrival,1,1204,True
2025-09-02 09:13:03.382,departure,-1,1203,True
2025-09-02 09:13:21.922,departure,-1,1202,True
2025-09-02 09:13:33.579,departure,-1,1201,True
2025-09-02 09:14:01.198,departure,-1,1200,True
2025-09-02 09:14:10.653,departure,-1,1199,True
2025-09-02 09:14:30.269,departure,-1,1198,True
2025-09-02 09:14:55.461,arrival,1,1199,True
2025-09-02 09:16:37.838,departure,-1,1198,True
